company_name,website,source,search_term,target_city,extracted_email,art_affinity_score,score_details,art_category
Feather & Fossil: Maximalist Interior Designer | Home Page,https://www.featherandfossil.co.uk/,Google,Interior Designers,"Plymouth, England, UK","contact@featherandfossil.co.uk,8c4075d5481d476e945486754f783364@sentry.io",2.0,M:2/T:0,Modern/Abstract
Interior Designers Wolverhampton - Virgo Interiors,https://valheverblinds.co.uk/interior-design/,Google,Interior Designers,"Wolverhampton, England, UK",info@valheverblinds.co.uk,1.0,M:2/T:1,Modern/Abstract
Crown Interior Designs Wolverhampton,https://crowninteriordesigns.com/,Google,Interior Designers,"Wolverhampton, England, UK",info@crowninteriordesigns.com,1.0,M:1/T:0,Modern/Abstract
Emily Radford Interiors: HOME,https://www.emilyradfordinteriors.com/,Google,Interior Designers,"Wolverhampton, England, UK",info@emilyradfordinteriors.com,4.0,M:5/T:1,Modern/Abstract
"Welcome - Interior Designer Staffordshire, Shropshire & London",https://lanaroseinteriors.co.uk/,Google,Interior Decorators,"Stoke-on-Trent, England, UK","nicola@lanaroseinteriors.co.uk,nicola@lanaroseinteriordesign.co.uk",3.0,M:3/T:0,Modern/Abstract
ND Interior Design - Creating Unique Spaces,https://ndinteriordesign.co.uk/,Google,Interior Designers,"Derby, England, UK",nikki@ndinteriordesign.com,2.0,M:2/T:0,Modern/Abstract
Bedroom & Dressing Rooms - Derby,https://creativeinteriors.co.uk/services/fitted-bedroom-design-in-derby-nottingham-creative-interiors/,Google,Interior Decorators,"Derby, England, UK","nottingham@creativeinteriors.co.uk,derby@creativeinteriors.co.uk",2.0,M:3/T:1,Modern/Abstract
Hinton House Interiors | Residential Interior Designer ...,https://www.hintonhouseinteriors.co.uk/,Google,Interior Designers,"Southampton, England, UK","hello@hintonhouseinteriors.co.uk,8c4075d5481d476e945486754f783364@sentry.io",1.0,M:1/T:0,Modern/Abstract
Interior Design & Home Refurbishment | Southampton ...,https://www.inspiredinteriors.org.uk/interior-design/,Google,Interior Designers,"Southampton, England, UK",info@inspiredinteriors.org.uk,1.0,M:2/T:1,Modern/Abstract
"KD Design: Unique, professional interior design",http://www.karendaviesinteriors.com/,Google,Interior Decorators,"Swansea, Wales, UK","jd@karendaviesinteriors.com,your@email.co.uk,kd@karendaviesinteriors.com",1.0,M:2/T:1,Modern/Abstract
Hannah Dean Interiors | Interior Designer | Henley On ...,https://www.hannahdeaninteriors.com/,Google,Interior Designers,"Reading, England, UK","hannah@hannahdeaninteriors.co.uk,example@mysite.com",1.0,M:2/T:1,Modern/Abstract
Yuliya Forrest - Interior Design in Aberdeen and ...,https://yuliyaforrest.com/,Google,Interior Designers,"Aberdeen, Scotland, UK",info@yuliyaforrest.com,1.0,M:2/T:1,Modern/Abstract
Stephen Ogilvie Interiors Ltd. - Aberdeen,https://www.stephenogilvieinteriors.co.uk/?srsltid=AfmBOoqxKbkjGw7SNrHvU6qJUyyXRyzLK3SOwX3uPbjbifGnTuQHfGTC,Google,Interior Designers,"Aberdeen, Scotland, UK","hello@stephenogilvieinteriors.co.uk,steve@stephenogilvieinteriors.co.yk,admin@stephenogilvieinteriors.co.uk",1.0,M:2/T:1,Modern/Abstract
Boutique interior design studio in Aberdeen & Aberdeenshire,https://www.mfa-homedesign.co.uk/,Google,Interior Designers,"Aberdeen, Scotland, UK","info@mfa-homedesign.co.uk,fatima@mfa-homedesign.co.uk",3.0,M:3/T:0,Modern/Abstract
Knook Interiors | Interior Design Consultancy,https://www.knookinteriors.com/,Google,Interior Designers,"Northampton, England, UK","hello@knookinteriors.com,8c4075d5481d476e945486754f783364@sentry.io",1.0,M:2/T:1,Modern/Abstract
Aqua Designs,https://www.aqua-designs.com/,Google,Interior Designers,"Luton, England, UK",info@aqua-designs.com,1.0,M:1/T:0,Modern/Abstract
Pepper&Co,https://pepperand.co/,Google,Interior Designers,"Swindon, England, UK",mark@pepperand.co,3.0,M:5/T:2,Modern/Abstract
Plaskitt & Plaskitt | Interior Design | York,https://www.plaskittandplaskitt.co.uk/,Google,Interior Designers,"York, England, UK",interiors@plaskittandplaskitt.co.uk,2.0,M:2/T:0,Modern/Abstract
Home Interiors | Interior Design | Interior Designers York,https://www.griffin-interiors.co.uk/,Google,Interior Designers,"York, England, UK","mymail@mailservice.com,helen@griffin-interiors.co.uk,helen@griffin-interiors.com",2.0,M:3/T:1,Modern/Abstract
Bespoke Wall Panelling & Interior Decor Peterborough | ABJ,https://abjkitchensandbedrooms.co.uk/bespoke-decors-peterborough,Google,Interior Decorators,"Peterborough, England, UK",info@abjkitchensandbedrooms.co.uk,1.0,M:1/T:0,Modern/Abstract
Studio Sempura | Interior Designer | Interior Architect | E ...,https://www.studiosempura.com/,Google,Interior Designers,"Bournemouth, England, UK","nInfo@studiosempura.com,info@studiosempura.com,Info@studiosempura.com",2.0,M:2/T:0,Modern/Abstract
Jane Richards Interiors,https://janerichardsinteriors.com/?srsltid=AfmBOoppQ5vKNldhZ-q-dq-_833SuVujA5tlMjSbjqMczNR_ZWi_avJY,Google,Interior Designers,"Norwich, England, UK",info@janerichards.co.uk,2.0,M:2/T:0,Modern/Abstract
Swank Interiors: BIID Registered Interior Designer,https://swankinteriors.co.uk/,Google,Interior Designers,"Norwich, England, UK",studio@swankinteriors.co.uk,1.0,M:1/T:0,Modern/Abstract
Sarah Rimmer Interior Design: Home Accessories,https://www.sarahrimmer.co.uk/,Google,Interior Designers,"Bolton, England, UK",hello@sarahrimmer.co.uk,2.0,M:2/T:0,Modern/Abstract
MA in Interior Architecture at Oxford Brookes University,"https://www.brookes.ac.uk/courses/postgraduate/interior-architecture#:~:text=and%20Active%20Citizenship.-,Research,Therapeutic%20Environments%20and%20Experiential%20Design.",Google,Interior Designers,"Oxford, England, UK","jkirk@brookes.ac.uk,financefees@brookes.ac.uk,info.sec@brookes.ac.uk",1.0,M:2/T:1,Modern/Abstract
Award-Winning Interior Designers Cambridge,https://www.az-interiors.co.uk/,Google,Interior Designers,"Cambridge, England, UK",studio@az-interiors.co.uk,4.0,M:8/T:4,Modern/Abstract
"Calder Interiors | Interior design | Cambridge, UK",https://www.thecalderconsultancy.co.uk/,Google,Interior Decorators,"Cambridge, England, UK","email@example.com,example@mysite.com,rachel@thecalderconsultancy.co.uk,8c4075d5481d476e945486754f783364@sentry.io,info@mysite.com",1.0,M:1/T:0,Modern/Abstract
Sarah Cox Interiors | Interior Designer Exeter Devon ...,https://www.sarahcoxinteriors.co.uk/,Google,Interior Designers,"Exeter, England, UK",hello@sarahcoxinteriors.co.uk,1.0,M:1/T:0,Modern/Abstract
