company_name,extracted_email,website,art_affinity_score,art_category,country
Interior Design | Willow & Maine,"hello@willowandmaine.co.uk,stretch@crop2.jpg.webp,fit284x189@2x.jpg.webp,hcrop2292x1910@stretch.jpg.webp,crop284x189@2x.jpg.webp,crop225x154@2x.jpg.webp,crop600x396@2x.jpg.webp,crop339x224@2x.png.webp,crop339x224@2x.jpg.webp,crop2@2x.jpg.webp,fit225x154@2x.jpg.webp,crop225x154@2x.png.webp,fit600x396@2x.jpg.webp,zoom302x238z82000cw344@2x.jpg.webp,lorraine@willowandmaine.co.uk,hcrop1528x1273@stretch.jpg.webp,zoom292x230z82000cw356@2x.jpg.webp,hcrop1671x1910@stretch.jpg.webp,fit400x264@2x.jpg.webp,crop284x189@2x.png.webp,crop400x264@2x.jpg.webp,zoom428x337z82000cw523@2x.jpg.webp,hcrop1114x1273@stretch.jpg.webp,fit339x224@2x.jpg.webp,hcrop1920x1600@stretch.jpg.webp,crop400x264@2x.png.webp,zoom466x367z82000cw536@2x.jpg.webp,zoom516x406z82000cw629@2x.jpg.webp,hcrop1400x1600@stretch.jpg.webp",https://www.willowandmaine.co.uk/,2.0,Modern/Abstract,UK
Design North - Interior Design & Architecture,info@architects-group.com,https://www.design-north.co.uk/,1.0,Modern/Abstract,UK
"Interior Designers Sussex, Surrey & London",info@pfeifferdesign.co.uk,https://www.pfeifferdesign.co.uk/,11.0,Modern/Abstract,UK
"Brighton, Sussex | Wilde + Co Interiors",cathie@wildeinteriors.co.uk,https://wildeinteriors.co.uk/,2.0,Modern/Abstract,UK
Interior Design & Home Staging in Milton Keynes,lesleyanninteriors@gmail.com,https://www.lesleyanninteriors.com/,1.0,Modern/Abstract,UK
Interior Design Services | Expert Design & Planning,"hello@innercreate.uk,%20hello@innercreate.uk",https://innercreate.uk/interior-design/,4.0,Modern/Abstract,UK
CloudNine Creative Interiors - Interior Designers - Milton Keynes,"info@cloudninecreativeinteriors.co.uk,sales@cloudninecreativeinteriors.co.uk",https://www.cloudninecreativeinteriors.co.uk/,1.0,Modern/Abstract,UK
Alle Interiors - Interior Design & Soft Furnishing,"alle@alle-interiors.co.uk,ALLE@ALLE-INTERIORS.CO.UK",https://alle-interiors.co.uk/,4.0,Modern/Abstract,UK
Architecture CAD Interior Designers Kingston upon Hull,info@siliconec.co.uk,https://www.siliconec.co.uk/architectural-services/kingston-upon-hull-architectural-engineering.html,3.0,Modern/Abstract,UK
Feather & Fossil: Maximalist Interior Designer | Home Page,"contact@featherandfossil.co.uk,8c4075d5481d476e945486754f783364@sentry.io",https://www.featherandfossil.co.uk/,2.0,Modern/Abstract,UK
Interior Designers Wolverhampton - Virgo Interiors,info@valheverblinds.co.uk,https://valheverblinds.co.uk/interior-design/,1.0,Modern/Abstract,UK
Crown Interior Designs Wolverhampton,info@crowninteriordesigns.com,https://crowninteriordesigns.com/,1.0,Modern/Abstract,UK
Emily Radford Interiors: HOME,info@emilyradfordinteriors.com,https://www.emilyradfordinteriors.com/,4.0,Modern/Abstract,UK
"Welcome - Interior Designer Staffordshire, Shropshire & London","nicola@lanaroseinteriors.co.uk,nicola@lanaroseinteriordesign.co.uk",https://lanaroseinteriors.co.uk/,3.0,Modern/Abstract,UK
ND Interior Design - Creating Unique Spaces,nikki@ndinteriordesign.com,https://ndinteriordesign.co.uk/,2.0,Modern/Abstract,UK
Bedroom & Dressing Rooms - Derby,"nottingham@creativeinteriors.co.uk,derby@creativeinteriors.co.uk",https://creativeinteriors.co.uk/services/fitted-bedroom-design-in-derby-nottingham-creative-interiors/,2.0,Modern/Abstract,UK
Hinton House Interiors | Residential Interior Designer ...,"hello@hintonhouseinteriors.co.uk,8c4075d5481d476e945486754f783364@sentry.io",https://www.hintonhouseinteriors.co.uk/,1.0,Modern/Abstract,UK
Interior Design & Home Refurbishment | Southampton ...,info@inspiredinteriors.org.uk,https://www.inspiredinteriors.org.uk/interior-design/,1.0,Modern/Abstract,UK
"KD Design: Unique, professional interior design","jd@karendaviesinteriors.com,your@email.co.uk,kd@karendaviesinteriors.com",http://www.karendaviesinteriors.com/,1.0,Modern/Abstract,UK
Hannah Dean Interiors | Interior Designer | Henley On ...,"hannah@hannahdeaninteriors.co.uk,example@mysite.com",https://www.hannahdeaninteriors.com/,1.0,Modern/Abstract,UK
Yuliya Forrest - Interior Design in Aberdeen and ...,info@yuliyaforrest.com,https://yuliyaforrest.com/,1.0,Modern/Abstract,UK
Stephen Ogilvie Interiors Ltd. - Aberdeen,"hello@stephenogilvieinteriors.co.uk,steve@stephenogilvieinteriors.co.yk,admin@stephenogilvieinteriors.co.uk",https://www.stephenogilvieinteriors.co.uk/?srsltid=AfmBOoqxKbkjGw7SNrHvU6qJUyyXRyzLK3SOwX3uPbjbifGnTuQHfGTC,1.0,Modern/Abstract,UK
Boutique interior design studio in Aberdeen & Aberdeenshire,"info@mfa-homedesign.co.uk,fatima@mfa-homedesign.co.uk",https://www.mfa-homedesign.co.uk/,3.0,Modern/Abstract,UK
Knook Interiors | Interior Design Consultancy,"hello@knookinteriors.com,8c4075d5481d476e945486754f783364@sentry.io",https://www.knookinteriors.com/,1.0,Modern/Abstract,UK
Aqua Designs,info@aqua-designs.com,https://www.aqua-designs.com/,1.0,Modern/Abstract,UK
Pepper&Co,mark@pepperand.co,https://pepperand.co/,3.0,Modern/Abstract,UK
Plaskitt & Plaskitt | Interior Design | York,interiors@plaskittandplaskitt.co.uk,https://www.plaskittandplaskitt.co.uk/,2.0,Modern/Abstract,UK
Home Interiors | Interior Design | Interior Designers York,"mymail@mailservice.com,helen@griffin-interiors.co.uk,helen@griffin-interiors.com",https://www.griffin-interiors.co.uk/,2.0,Modern/Abstract,UK
Bespoke Wall Panelling & Interior Decor Peterborough | ABJ,info@abjkitchensandbedrooms.co.uk,https://abjkitchensandbedrooms.co.uk/bespoke-decors-peterborough,1.0,Modern/Abstract,UK
Studio Sempura | Interior Designer | Interior Architect | E ...,"nInfo@studiosempura.com,info@studiosempura.com,Info@studiosempura.com",https://www.studiosempura.com/,2.0,Modern/Abstract,UK
Jane Richards Interiors,info@janerichards.co.uk,https://janerichardsinteriors.com/?srsltid=AfmBOoppQ5vKNldhZ-q-dq-_833SuVujA5tlMjSbjqMczNR_ZWi_avJY,2.0,Modern/Abstract,UK
Swank Interiors: BIID Registered Interior Designer,studio@swankinteriors.co.uk,https://swankinteriors.co.uk/,1.0,Modern/Abstract,UK
Sarah Rimmer Interior Design: Home Accessories,hello@sarahrimmer.co.uk,https://www.sarahrimmer.co.uk/,2.0,Modern/Abstract,UK
MA in Interior Architecture at Oxford Brookes University,"jkirk@brookes.ac.uk,financefees@brookes.ac.uk,info.sec@brookes.ac.uk","https://www.brookes.ac.uk/courses/postgraduate/interior-architecture#:~:text=and%20Active%20Citizenship.-,Research,Therapeutic%20Environments%20and%20Experiential%20Design.",1.0,Modern/Abstract,UK
Award-Winning Interior Designers Cambridge,studio@az-interiors.co.uk,https://www.az-interiors.co.uk/,4.0,Modern/Abstract,UK
"Calder Interiors | Interior design | Cambridge, UK","email@example.com,example@mysite.com,rachel@thecalderconsultancy.co.uk,8c4075d5481d476e945486754f783364@sentry.io,info@mysite.com",https://www.thecalderconsultancy.co.uk/,1.0,Modern/Abstract,UK
Sarah Cox Interiors | Interior Designer Exeter Devon ...,hello@sarahcoxinteriors.co.uk,https://www.sarahcoxinteriors.co.uk/,1.0,Modern/Abstract,UK
